zipcode,lat,lng,city,state_id,state_name,zcta,parent_zcta,population_zip,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
8723,40.03885,-74.11089,Brick,NJ,New Jersey,TRUE,,32944,1012.6,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8724,40.08985,-74.11454,Brick,NJ,New Jersey,TRUE,,40924,1198.7,34029,Ocean,"{'34025':0.11,'34029':99.89}",Ocean|Monmouth,34029|34025,FALSE,FALSE,America/New_York
8730,40.10484,-74.06368,Brielle,NJ,New Jersey,TRUE,,4709,1049.5,34025,Monmouth,{'34025':100},Monmouth,34025,FALSE,FALSE,America/New_York
8731,39.86218,-74.26968,Forked River,NJ,New Jersey,TRUE,,19956,161.6,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8732,39.94175,-74.14494,Island Heights,NJ,New Jersey,TRUE,,1357,1058.1,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8733,40.02626,-74.32539,Lakehurst,NJ,New Jersey,TRUE,,2713,291.5,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8734,39.86403,-74.17052,Lanoka Harbor,NJ,New Jersey,TRUE,,8624,515.6,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8735,39.98206,-74.07228,Lavallette,NJ,New Jersey,TRUE,,3874,692.8,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8736,40.11991,-74.06817,Manasquan,NJ,New Jersey,TRUE,,12991,1050.1,34025,Monmouth,{'34025':100},Monmouth,34025,FALSE,FALSE,America/New_York
8738,40.02145,-74.06183,Mantoloking,NJ,New Jersey,TRUE,,1164,406.1,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8740,39.9282,-74.13378,Ocean Gate,NJ,New Jersey,TRUE,,1733,1753.7,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8741,39.93698,-74.16811,Pine Beach,NJ,New Jersey,TRUE,,2640,1185.8,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8742,40.08086,-74.06173,Point Pleasant Beach,NJ,New Jersey,TRUE,,24292,1680.7,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8750,40.13377,-74.04392,Sea Girt,NJ,New Jersey,TRUE,,3117,720,34025,Monmouth,{'34025':100},Monmouth,34025,FALSE,FALSE,America/New_York
8751,39.94639,-74.08279,Seaside Heights,NJ,New Jersey,TRUE,,4379,1240,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8752,39.84784,-74.09589,Seaside Park,NJ,New Jersey,TRUE,,2204,168,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8753,39.97937,-74.15557,Toms River,NJ,New Jersey,TRUE,,63026,1064.9,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8755,40.00966,-74.22456,Toms River,NJ,New Jersey,TRUE,,25835,609.7,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8757,39.94572,-74.25616,Toms River,NJ,New Jersey,TRUE,,33999,497.6,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8758,39.78928,-74.23008,Waretown,NJ,New Jersey,TRUE,,7674,217.3,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8759,39.97836,-74.35624,Manchester Township,NJ,New Jersey,TRUE,,32803,199.3,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8801,40.6239,-74.88659,Annandale,NJ,New Jersey,TRUE,,8990,202.6,34019,Hunterdon,{'34019':100},Hunterdon,34019,FALSE,FALSE,America/New_York
8802,40.67647,-75.02428,Asbury,NJ,New Jersey,TRUE,,4035,65.7,34019,Hunterdon,"{'34019':69.68,'34041':30.32}",Hunterdon|Warren,34019|34041,FALSE,FALSE,America/New_York
8804,40.64553,-75.09522,Bloomsbury,NJ,New Jersey,TRUE,,2540,87.1,34019,Hunterdon,"{'34019':71.82,'34041':28.18}",Hunterdon|Warren,34019|34041,FALSE,FALSE,America/New_York
8805,40.57163,-74.53695,Bound Brook,NJ,New Jersey,TRUE,,11974,1668.7,34035,Somerset,{'34035':100},Somerset,34035,FALSE,FALSE,America/New_York
8807,40.59278,-74.62027,Bridgewater,NJ,New Jersey,TRUE,,38748,573.5,34035,Somerset,{'34035':100},Somerset,34035,FALSE,FALSE,America/New_York
8808,40.73214,-75.04926,Broadway,NJ,New Jersey,TRUE,,142,831.9,34041,Warren,{'34041':100},Warren,34041,FALSE,FALSE,America/New_York
8809,40.65124,-74.92234,Clinton,NJ,New Jersey,TRUE,,6013,386.1,34019,Hunterdon,{'34019':100},Hunterdon,34019,FALSE,FALSE,America/New_York
8810,40.37271,-74.49384,Dayton,NJ,New Jersey,TRUE,,9049,447.1,34023,Middlesex,{'34023':100},Middlesex,34023,FALSE,FALSE,America/New_York
8812,40.59977,-74.4807,Dunellen,NJ,New Jersey,TRUE,,14422,1048.8,34023,Middlesex,"{'34023':50.55,'34035':49,'34039':0.45}",Middlesex|Somerset|Union,34023|34035|34039,FALSE,FALSE,America/New_York
8816,40.42851,-74.41619,East Brunswick,NJ,New Jersey,TRUE,,46660,868.2,34023,Middlesex,{'34023':100},Middlesex,34023,FALSE,FALSE,America/New_York
8817,40.5155,-74.39446,Edison,NJ,New Jersey,TRUE,,44823,1605,34023,Middlesex,{'34023':100},Middlesex,34023,FALSE,FALSE,America/New_York
8820,40.57722,-74.36588,Edison,NJ,New Jersey,TRUE,,38796,1474.9,34023,Middlesex,{'34023':100},Middlesex,34023,FALSE,FALSE,America/New_York
8821,40.52,-74.68572,Flagtown,NJ,New Jersey,TRUE,,377,456.9,34035,Somerset,{'34035':100},Somerset,34035,FALSE,FALSE,America/New_York
8822,40.52109,-74.86364,Flemington,NJ,New Jersey,TRUE,,31119,183.8,34019,Hunterdon,{'34019':100},Hunterdon,34019,FALSE,FALSE,America/New_York
